asset,weight
AAPL,0.001009324021106466
MSFT,0.0010465214258246075
GOOGL,0.001137419780809212
AMZN,0.0011441949246736663
META,0.0012787376506604256
NVDA,0.0012486105147048552
TSLA,0.001184685794050687
AVGO,0.0011181316796107577
ADBE,0.0011210233476574751
CRM,0.0010736113438987473
CSCO,0.009640302997874772
ORCL,0.008037371084026067
ACN,0.0009204046135212057
INTC,0.0010279163213083703
AMD,0.0011622144838608578
QCOM,0.0011746542951064564
TXN,0.0010896432487485458
AMAT,0.0012427945983785958
NOW,0.0011963365967053849
INTU,0.0011025068569860037
V,0.0010098042634421461
MA,0.0011244940149441472
BAC,0.0010326947889949345
WFC,0.0010251480031933683
GS,0.000993518202618002
MS,0.0010872607597574575
BLK,0.0010464683510768367
SCHW,0.0009199300167809399
C,0.0010542413997322421
AXP,0.0011277860084996638
CB,0.001139857804149967
A,0.002116962413995399
PGR,0.04265280456720069
ICE,0.007917199209929249
UNH,0.001687192668624055
PFE,0.03595651381510762
ABBV,0.04074477357490059
MRK,0.058369164829535
LLY,0.05435339321961026
TMO,0.016390179201929932
ABT,0.015710414206367318
DHR,0.01170789500126965
BMY,0.05455455471165122
AMGN,0.037881381410881
GILD,0.053878888191443736
ISRG,0.001045237823628281
MDT,0.002090592119597355
SYK,0.0010396495898228424
HD,0.0011181550129015824
MCD,0.020279296863071956
AAL,0.0011686396500726747
AAP,0.00078387552232804
LOW,0.0009489742095323928
TJX,0.001098719318427923
BKNG,0.0013204006777224585
CMG,0.001271700417171281
ORLY,0.007967583659939053
ROST,0.0011532946360855259
PG,0.02830408708160789
KO,0.013044539198492381
PEP,0.012735626446730923
COST,0.03222685087382466
PM,0.025073667276908605
CL,0.04198046235552033
MDLZ,0.015901335036193103
MO,0.02968829251098191
KHC,0.017887764440099208
HON,0.0009489533742088818
UPS,0.016220772168622024
BA,0.001165637743955831
CAT,0.0010834148914740996
GE,0.001169032811120752
RTX,0.001015322682171214
LMT,0.026661690775095427
DE,0.001294568603645692
MMM,0.015957519937048432
FDX,0.0009821480387160694
XOM,0.001032015312832361
ADI,0.0011096309625675015
SLB,0.0012290523885345765
EOG,0.001258320729448324
NEE,0.008478903876090575
DUK,0.012632457977955003
SO,0.006385107752888038
D,0.00967057513440913
AEP,0.01650647461672878
PLD,0.0008080813335452672
AMT,0.0028964988388120822
EQIX,0.0068967036905222155
SPG,0.0011753602436611209
PSA,0.04032498259302931
LIN,0.0019666128966852447
APD,0.0028893526899278783
SHW,0.0030502253074030663
T,0.01668956505107025
VZ,0.05693334664202186
