experiment,weight_set,alpha,n_assets,n_periods,n_tail_obs,total_cvar,total_var,herfindahl_index,effective_n,max_rc_asset,max_rc_pct,min_rc_asset,min_rc_pct,additivity_error,euler_check_pass,top1_asset,top1_pct,top2_asset,top2_pct,top3_asset,top3_pct
E3_PC,classical_risk_parity,0.05,10,1005,51,0.03420744303901089,0.018743045703303964,0.10040616291844158,9.959548009142477,XOM,10.969936538020306,NEE,8.693032941491225,2.0284748836660388e-16,True,XOM,10.9699,AAPL,10.6901,UNH,10.4275
E3_PC,oos_equal_weight,0.05,10,501,26,0.0193058855737227,0.013492446531317391,0.11314960805029288,8.837856509016971,AAPL,14.199459780164748,PG,1.9786183151379624,1.797092880668323e-16,True,AAPL,14.1995,CAT,13.6888,GOOGL,12.9747
E3_PC,oos_quantum_cvar,0.05,10,501,26,0.016703992385891927,0.01038167152751043,0.18550358783205526,5.390731315155721,PG,28.278604534393903,NEE,3.2927731071628656,2.077016602859372e-16,True,PG,28.2786,LIN,27.4541,GOOGL,10.7557
E3_PC,oos_classical_cvar,0.05,10,501,26,0.01730441567263049,0.011574003206566064,0.24038414212075013,4.160008190131271,PG,41.22139471925409,MSFT,0.734810075286477,0.0,True,PG,41.2214,CAT,18.8436,NEE,15.9403
E3_PC,oos_inverse_vol,0.05,10,501,26,0.018674024949917108,0.013433162431575378,0.10815027958005662,9.246393110428947,UNH,14.337481648894848,PG,5.133299721994833,1.857899923159752e-16,True,UNH,14.3375,AAPL,13.1871,GOOGL,11.8873
S1_PA_100,initial_equal_weight,0.05,100,1005,51,0.038602964988520935,0.022406577172267655,0.011086536073962613,90.19949904357946,APA,1.989218415619619,GIS,0.29908926739100955,1.7975028358496333e-16,True,APA,1.9892,TRGP,1.7944,OXY,1.7624
S1_PA_100,quantum_optimal,0.05,100,1005,51,0.02395319196388924,0.014649350516604624,0.09135896360997613,10.945833451757798,WMT,20.841792900701446,ZION,0.038561159146924935,1.448427815876837e-16,True,WMT,20.8418,GILD,11.7464,REGN,11.1642
S1_PA_100,classical_slsqp,0.05,100,1005,51,0.023125882070970105,0.015482604179905943,0.1238983601045186,8.071131846752586,WMT,19.736373603969973,ADSK,0.0,1.500244159901108e-16,True,WMT,19.7364,GILD,18.3,GIS,15.1942
S1_PA_100,classical_markowitz,0.05,100,1005,51,0.02450873325489164,0.014317290241974976,0.05226200357642805,19.134360176941897,GIS,9.375854128138847,ADI,0.0,1.415596194169282e-16,True,GIS,9.3759,GEN,7.899,WMT,7.2866
S1_PA_100,classical_risk_parity,0.05,100,1005,51,0.03465928777721543,0.019719424681365127,0.010047301972981818,99.52920721295112,GEN,1.171312229815167,ZION,0.8165773442314969,0.0,True,GEN,1.1713,TDG,1.1288,DRI,1.1224
S1_PA_100,oos_equal_weight,0.05,100,501,26,0.021428594801932026,0.011995264457216633,0.012405064467947273,80.61223725066823,SEDG,2.817726886080364,AEP,0.1572553033044548,0.0,True,SEDG,2.8177,ALGN,2.226,INTC,2.13
S1_PA_100,oos_quantum_cvar,0.05,100,501,26,0.017952043808232725,0.01227335665290567,0.11079675938470004,9.025534731822583,REGN,22.752181463858175,ETN,0.012995329496118136,0.0,True,REGN,22.7522,GIS,12.3171,GILD,11.9753
S1_PA_100,oos_classical_cvar,0.05,100,501,26,0.018804879833592723,0.013222116283046557,0.13856236026697277,7.216967133594334,GILD,22.59782961440681,ADSK,0.0,0.0,True,GILD,22.5978,GIS,16.0198,REGN,15.5145
S1_PA_100,oos_inverse_vol,0.05,100,501,26,0.01971229813364672,0.011053141756672335,0.011188468918175607,89.37773410403862,INTC,2.056602764606499,NOC,0.24076389279838892,1.7600418421185884e-16,True,INTC,2.0566,MTD,1.8488,ADI,1.7567
S1_PA_30,initial_equal_weight,0.05,30,1005,51,0.03831386009892729,0.02040732866349846,0.03979886831997345,25.12634258743835,APA,7.427038170158691,GIS,1.1656139181399874,0.0,True,APA,7.427,OXY,6.406,FANG,5.8569
S1_PA_30,quantum_optimal,0.05,30,1005,51,0.024698061671856272,0.014879445496541487,0.11789800879972204,8.481907456967651,WMT,20.97395936177473,ETN,0.2557523167434589,2.8094892611811306e-16,True,WMT,20.974,GIS,14.5303,GILD,14.0675
S1_PA_30,classical_slsqp,0.05,30,1005,51,0.02388177487713149,0.014910867962876224,0.1630027863386409,6.1348644551540605,GIS,22.202949405104086,ADI,0.0,1.4527592567149241e-16,True,GIS,22.2029,WMT,18.4996,GILD,18.4387
S1_PA_30,classical_markowitz,0.05,30,1005,51,0.024567458231099158,0.0146845351585333,0.10813587218143711,9.247625046405856,GIS,17.40337306663666,HCA,0.0,1.4122124150237127e-16,True,GIS,17.4034,ABBV,12.8959,WMT,12.6444
S1_PA_30,classical_risk_parity,0.05,30,1005,51,0.032808478928129076,0.01751233682108462,0.033469415904612575,29.878023651502843,GIS,3.7051949330676237,RMD,2.9642299726425354,0.0,True,GIS,3.7052,ABBV,3.6615,BSX,3.6228
S1_PA_30,oos_equal_weight,0.05,30,501,26,0.023317490487876954,0.01390997325187427,0.04240253624468086,23.583494964300485,INTC,7.710794589027599,NOC,0.4326682982722897,1.4879161004728502e-16,True,INTC,7.7108,APA,6.6948,MGM,5.7245
S1_PA_30,oos_quantum_cvar,0.05,30,501,26,0.019265357626140362,0.01291201036011216,0.14119471044664328,7.082418291993273,REGN,23.152121482443295,HCA,0.13361050730727647,1.8008733703681087e-16,True,REGN,23.1521,GILD,16.6571,GIS,15.5462
S1_PA_30,oos_classical_cvar,0.05,30,501,26,0.02095643759657053,0.0140828748715582,0.1781692905762772,5.612639511363399,REGN,21.562255427532453,ADI,0.0,0.0,True,REGN,21.5623,GILD,20.9964,GIS,20.4307
S1_PA_30,oos_inverse_vol,0.05,30,501,26,0.021048113794839094,0.012759706667658108,0.038130122613371266,26.22598437827539,INTC,7.2140816025547645,NOC,0.754846202524529,1.6483410275005938e-16,True,INTC,7.2141,ADI,5.7792,DD,4.6925
S1_PB_100,initial_equal_weight,0.05,100,1005,51,0.0452926279634951,0.026343661805405656,0.010524291611823146,95.0182717168902,CCL,1.9828147192264785,NDAQ,0.6348189011054031,0.0,True,CCL,1.9828,HAL,1.5718,DVN,1.4986
S1_PB_100,quantum_optimal,0.05,100,1005,51,0.033125488318169874,0.020257629637317587,0.12834790176223257,7.7913233194300515,BRK-B,26.467896888951913,DOW,0.022405923140656304,2.094729543987106e-16,True,BRK-B,26.4679,GD,13.065,NDAQ,11.5582
S1_PB_100,classical_slsqp,0.05,100,1005,51,0.032401318066490575,0.02004058011076896,0.17994940336094267,5.557117619302128,BRK-B,27.882794632830795,ADP,0.0,0.0,True,BRK-B,27.8828,GD,20.2599,NDAQ,15.1245
S1_PB_100,classical_markowitz,0.05,100,1005,51,0.033903483030199556,0.019450211287405626,0.10345452043798106,9.666083180961436,BRK-B,15.264250374813384,AIG,0.0,0.0,True,BRK-B,15.2643,ROP,14.3253,GD,14.1978
S1_PB_100,classical_risk_parity,0.05,100,1005,51,0.04333709451017564,0.025167920106331107,0.010035195908941464,99.64927531798254,MSI,1.2003972648940895,ZION,0.7907640179523744,1.6011442350565985e-16,True,MSI,1.2004,FOX,1.129,TDG,1.1168
S1_PB_100,oos_equal_weight,0.05,100,501,26,0.025338338181311128,0.016389972678134433,0.011370736441430255,87.94505132986937,VFC,2.0052257409296157,WELL,0.30458121946911815,2.738496050630856e-16,True,VFC,2.0052,ZION,1.866,IVZ,1.8202
S1_PB_100,oos_quantum_cvar,0.05,100,501,26,0.019674617356896074,0.01294728029335428,0.1377306760970181,7.260546657707507,BRK-B,26.179393959347923,WELL,0.010767217030125098,1.763412669744947e-16,True,BRK-B,26.1794,EFX,16.2237,NDAQ,13.6638
S1_PB_100,oos_classical_cvar,0.05,100,501,26,0.01996115336714027,0.012550114561393523,0.17632260490098736,5.671422564120706,BRK-B,26.887173137102614,ADP,0.0,1.738099441520643e-16,True,BRK-B,26.8872,GD,18.0958,NDAQ,15.6867
S1_PB_100,oos_inverse_vol,0.05,100,501,26,0.024306412591747453,0.015939272034366063,0.010845441100956883,92.20464070491066,VFC,1.701822163657459,WELL,0.2779080149085702,0.0,True,VFC,1.7018,HPE,1.6487,ROK,1.5578
S1_PB_30,initial_equal_weight,0.05,30,1005,51,0.042824349895718844,0.024236100185902533,0.03455151191600483,28.94229353641638,COF,4.758080464696351,GD,2.465732914163185,0.0,True,COF,4.7581,SLB,4.7443,MPC,4.4989
S1_PB_30,quantum_optimal,0.05,30,1005,51,0.035448835738496,0.021254915051694953,0.14736525934456493,6.78585987258931,GD,26.184313654566875,EMR,0.1467859712336661,1.9574391540232378e-16,True,GD,26.1843,LIN,21.9861,ITW,12.185
S1_PB_30,classical_slsqp,0.05,30,1005,51,0.034769434362192236,0.0209979676150012,0.2162449801643354,4.624384803013924,LIN,30.154240406750198,AXP,0.0,1.995687888282784e-16,True,LIN,30.1542,GD,28.7789,ITW,17.1459
S1_PB_30,classical_markowitz,0.05,30,1005,51,0.0365584683848505,0.021606033399124532,0.07281826602334776,13.732818077257834,GD,11.221725927973239,AXP,0.0,1.8980264246470603e-16,True,GD,11.2217,LIN,9.4202,CPRT,9.0685
S1_PB_30,classical_risk_parity,0.05,30,1005,51,0.04146970463467516,0.023704197125625815,0.033421948444065326,29.920457859409098,CPRT,3.792002223844202,CVX,2.9551782530016837,1.673244110377642e-16,True,CPRT,3.792,CTSH,3.6688,MA,3.6536
S1_PB_30,oos_equal_weight,0.05,30,501,26,0.02391255712739417,0.014576413055853154,0.036571049966547635,27.34403307847936,COF,5.036121645521833,CB,1.2715461195881628,1.4508891430849437e-16,True,COF,5.0361,MS,4.901,PRU,4.7368
S1_PB_30,oos_quantum_cvar,0.05,30,501,26,0.01855928333572622,0.011911305410167865,0.16482901621090557,6.0668929718081825,GD,30.632215749501185,JPM,0.12387859043127218,1.8693862738087612e-16,True,GD,30.6322,LIN,19.8731,ITW,13.7241
S1_PB_30,oos_classical_cvar,0.05,30,501,26,0.01888369773186767,0.012539863657512666,0.2377692641753713,4.205758063255942,GD,33.97848083538767,AXP,0.0,3.6745419262864775e-16,True,GD,33.9785,LIN,28.7886,ITW,17.2811
S1_PB_30,oos_inverse_vol,0.05,30,501,26,0.02306914592389322,0.014358401401846793,0.03548794811971555,28.178580419092864,MS,4.7774253454767255,CB,1.4932306058461644,0.0,True,MS,4.7774,EMR,4.4475,MCO,4.3239
S1_PC_100,initial_equal_weight,0.05,96,1005,51,0.03508473921027687,0.01967730457970921,0.011297525575777779,88.51495783678763,BA,1.7457558493271637,VZ,0.496144815403403,0.0,True,BA,1.7458,TSLA,1.7181,AAL,1.6905
S1_PC_100,quantum_optimal,0.05,96,1005,51,0.02562103544348103,0.014304397745498763,0.029090243747713226,34.37578621453145,MRK,4.987352354146785,CMG,0.10045985989754619,1.3541400227976496e-16,True,MRK,4.9874,LLY,4.8464,BMY,4.8349
S1_PC_100,classical_slsqp,0.05,96,1005,51,0.023153831889094534,0.014136244005164262,0.13601404489063743,7.352181907420322,VZ,21.912713070130852,GOOGL,0.0,2.9968663230966755e-16,True,VZ,21.9127,BMY,18.6758,GILD,15.9506
S1_PC_100,classical_markowitz,0.05,96,1005,51,0.025055387258672,0.014163291814380771,0.03481192143609088,28.725791589408246,BMY,5.499663449838687,AVGO,0.0,0.0,True,BMY,5.4997,VZ,5.3582,GILD,5.2314
S1_PC_100,classical_risk_parity,0.05,96,1005,51,0.03261637421766886,0.018002231592820626,0.010481464039118163,95.40651919120003,TSLA,1.2924636618492817,LLY,0.8170507193394474,4.2548530119255845e-16,True,TSLA,1.2925,AMZN,1.2656,BKNG,1.2336
S1_PC_100,oos_equal_weight,0.05,96,501,26,0.019428029249372238,0.012296266142488702,0.013154667452419326,76.01864536804281,INTC,2.7051112305563625,LMT,0.14113323503006664,0.0,True,INTC,2.7051,TSLA,2.3233,AAL,2.3108
S1_PC_100,oos_quantum_cvar,0.05,96,501,26,0.01721032385456507,0.012001520857440919,0.043917866088670224,22.76977660938714,LLY,8.581594414538655,NVDA,-0.0032637411767942916,2.015910322938598e-16,True,LLY,8.5816,BMY,8.4369,MRK,7.7499
S1_PC_100,oos_classical_cvar,0.05,96,501,26,0.019136122956700065,0.013649395487751077,0.17892316993174573,5.588991075786733,BMY,28.396176078706247,AMD,-2.876426915442385e-17,0.0,True,BMY,28.3962,GILD,21.2161,VZ,19.9848
S1_PC_100,oos_inverse_vol,0.05,96,501,26,0.017846042535943026,0.011088871690894868,0.01177708439286319,84.91065926350933,INTC,2.2233846660599235,LMT,0.12018215589650583,0.0,True,INTC,2.2234,ADI,1.9219,TXN,1.8476
S1_PC_30,initial_equal_weight,0.05,30,1005,51,0.04302118276325915,0.02441043327388708,0.034344929475691274,29.11637948500614,SLB,4.507132762099618,GD,2.3836969761005613,1.61290170521137e-16,True,SLB,4.5071,AIG,4.4864,AMP,4.4808
S1_PC_30,quantum_optimal,0.05,30,1005,51,0.03533773542784449,0.0208356466633034,0.15635637490607554,6.395645848151108,GD,25.81249468062389,JPM,0.15578972539277947,1.96359325799907e-16,True,GD,25.8125,LIN,23.8815,ITW,12.2314
S1_PC_30,classical_slsqp,0.05,30,1005,51,0.034737822627208294,0.020788821472461003,0.21598798126219337,4.629887247226383,GD,30.220656761619313,USB,3.5096523700864926e-17,3.9950079648758187e-16,True,GD,30.2207,LIN,29.1017,ITW,16.2636
S1_PC_30,classical_markowitz,0.05,30,1005,51,0.035946681579418105,0.02085061304827127,0.0918408609360821,10.888399670991365,GD,14.934680897758543,AMAT,0.0,0.0,True,GD,14.9347,LIN,12.0069,CB,10.4983
S1_PC_30,classical_risk_parity,0.05,30,1005,51,0.041824433502108446,0.024198172110722196,0.03340142295606416,29.938844261676763,MA,3.6159313708387084,CVX,2.973768814096464,0.0,True,MA,3.6159,GE,3.5808,ADP,3.5477
S1_PC_30,oos_equal_weight,0.05,30,501,26,0.025539027467907687,0.01527818082708181,0.03679850912530039,27.17501398208716,ADI,4.9568014377408876,CB,0.916011655048284,0.0,True,ADI,4.9568,QCOM,4.8745,AMAT,4.7776
S1_PC_30,oos_quantum_cvar,0.05,30,501,26,0.0189156520162921,0.012053932344195514,0.17855216197628918,5.600604265619562,GD,30.364328977548293,JPM,0.10810304984402541,0.0,True,GD,30.3643,LIN,23.6563,ITW,12.4496
S1_PC_30,oos_classical_cvar,0.05,30,501,26,0.019227166420402488,0.012352030592259096,0.23638092344980283,4.23045982478513,GD,33.991553801031294,USB,3.402889670184547e-17,0.0,True,GD,33.9916,LIN,29.0318,ITW,16.1719
S1_PC_30,oos_inverse_vol,0.05,30,501,26,0.024660373586909944,0.014572003249560843,0.0357277250428356,27.98946752979806,ADI,5.041501402121034,CB,1.0877847123368045,1.4068914810743592e-16,True,ADI,5.0415,MS,4.6271,EMR,4.3384
